一《いち》 | #090 こく》(UK)の一《いち》地域《ちいき》。
扇風機《せんぷうき》 | #096 「扇風機《せんぷうき》・うちわ」の意味
手書《てが》 | #129 港《みなと》まで手書《てが》きの歓迎《かんげ
手本《てほん》 | #180 「手本《てほん》」「ファッション
手荷物《てにもつ》 | #091 認《かくにん》と手荷物《てにもつ》の検査《けんさ》
手配《てはい》 | #193 《かいじょう》の手配《てはい》から進行表《しん
打率《だりつ》 | #096 《せばんごう》も打率《だりつ》もすらすら言《い
技術的《ぎじゅつてき》 | #211 くしゃ》たちは「技術的《ぎじゅつてき》には」と答《こた
抑《おさ》 | #140 terest>が抑《おさ》えられず、図書室
投下《とうか》 | #018 45年《ねん》に投下《とうか》された<atom
抗議《こうぎ》 | #292 nfair>だと抗議《こうぎ》が出《で》て、結
抜け出《ぬけだ》 | #262 直《みなお》して｜抜け出《ぬけだ》した。
抱《だ》 | #130 抱《だ》きしめる
抱擁《ほうよう》 | #130 を表《あらわ》す抱擁《ほうよう》。
抽選《ちゅうせん》 | #171 抽選《ちゅうせん》
抽選会《ちゅうせんかい》 | #043 抽選会《ちゅうせんかい》
担《にな》 | #175 神輿《しんよ》を担《にな》いだ。
拒否《きょひ》 | #004 拒否《きょひ》する
招《まね》 | #193 寄《としよ》りを招《まね》く交流会《こうり
持ち歩《もちある》 | #227 マイバッグを｜持ち歩《もちある》くだけで、レジ袋
指導《しどう》 | #050 手《せんしゅ》を指導《しどう》する人《にん》。
指揮者《しきしゃ》 | #146 指揮者《しきしゃ》
指摘《してき》 | #150 題《もんだい》が指摘《してき》されている。
指針《ししん》 | #183 動《こうどう》の指針《ししん》となる言葉《こと
挑戦者《ちょうせんしゃ》 | #042 挑戦者《ちょうせんしゃ》
振り向《ふりむ》 | #099 <felt>して｜振り向《ふりむ》いたら、ついてき
振袖《ふりそで》 | #308 いた赤《あか》い振袖《ふりそで》に袖《そで》を通
採血《さいけつ》 | #189 採血《さいけつ》が怖《こわ》くて
接続《せつぞく》 | #055 nection(接続《せつぞく》)の動詞形《どう
推薦《すいせん》 | #004 いんちょう》への推薦《すいせん》を最初《さいしょ
掲《かか》 | #042 しょう》カップを掲《かか》げた。
提供《ていきょう》 | #247 提供《ていきょう》する
提出用《ていしゅつよう》 | #215 上《しあ》げて、提出用《ていしゅつよう》に2部《ぶ》<p
援助《えんじょ》 | #084 援助《えんじょ》
搭乗口《とうじょうぐち》 | #111 》港《みなと》の搭乗口《とうじょうぐち》も gate。
搾《しぼ》 | #147 搾《しぼ》りたてのオレンジ
支《ささ》 | #022 物《たてもの》を支《ささ》えてきた。
支援《しえん》 | #274 orter = 支援《しえん》者《もの》・サポ
改善《かいぜん》 | #135 ement = 改善《かいぜん》。
攻撃的《こうげきてき》 | #210 攻撃的《こうげきてき》な
放《はな》 | #150 放《はな》す
政治家《せいじか》 | #016 政治家《せいじか》
政策《せいさく》 | #209 を握《にぎ》り、政策《せいさく》を訴《うった》え
救《すく》 | #006 が命《いのち》を救《すく》う。
救急車《きゅうきゅうしゃ》 | #005 あり、パトカーと救急車《きゅうきゅうしゃ》が駆《か》けつけ
敗《やぶ》 | #171 てん》差《さ》で敗《やぶ》れた。悔《くや》
敗北《はいぼく》 | #297 defeat(敗北《はいぼく》)の対《つい》。
敗者《はいしゃ》 | #303 r。loser(敗者《はいしゃ》)の対《つい》。
敗退《はいたい》 | #213 。外《はず》せば敗退《はいたい》という<pres
教授《きょうじゅ》 | #217 教授《きょうじゅ》
教頭《きょうとう》 | #214 教頭《きょうとう》
数人《すうにん》 | #111 毎日《まいにち》数人《すうにん》いる。
数回《すうかい》 | #275 は、年《ねん》に数回《すうかい》の雨《あめ》だけ
整備士《せいびし》 | #078 整備士《せいびし》
敵《かな》 | #039 いちぼう》でき、敵《かな》を見張《みはっ》
敷地《しきち》 | #111 敷地《しきち》の出入口《でいり
文学《ぶんがく》 | #089 文学《ぶんがく》
文通《ぶんつう》 | #225 外《かいがい》の文通《ぶんつう》相手《あいて》か
斑点《はんてん》 | #162 》に黒《くろ》い斑点《はんてん》模様《もよう》の
方《かた》 | #309 た。包《つつ》み方《かた》は店員《てんいん
方式《ほうしき》 | #285 》ち残《のこ》り方式《ほうしき》の大会《たいかい
旅先《たびさき》 | #212 旅先《たびさき》から祖母《そぼ》
旅行券《りょこうけん》 | #303 inner>には旅行券《りょこうけん》10万円《まんえ
旅行者《りょこうしゃ》 | #105 eign>からの旅行者《りょこうしゃ》であふれていた。
旗《はた》 | #185 nation>の旗《はた》が次々《つぎつぎ
日本中《にほんじゅう》 | #287 ャンピングカーで日本中《にほんじゅう》を<travel
日本人観光客《にっぽんじんかんこうきゃく》 | #144 ラジル系《けい》日本人観光客《にっぽんじんかんこうきゃく》
日焼《ひや》 | #261 》の海《うみ》で日焼《ひや》け止《と》めを塗
日程《にってい》 | #218 日程《にってい》
日系《にっけい》 | #144 日系《にっけい》ブラジル人《にん
日頃《ひごろ》 | #132 じゅぎょう》で、日頃《ひごろ》の備《そな》えの
旬《じゅん》 | #092 いこうぶつ》で、旬《じゅん》の7月《がつ》は
明《あ》 | #155 る炎《ほのお》の明《あ》かりで家族《かぞ
明言《めいげん》 | #218 督《かんとく》が明言《めいげん》した。
映像《えいぞう》 | #015 うはん》カメラの映像《えいぞう》が｜決め手《きめ
映画祭《えいがさい》 | #141 この映画祭《えいがさい》には40か国《く
時刻表《じこくひょう》 | #200 >はすさまじく、時刻表《じこくひょう》を読《よ》むだけ
時差《じさ》 | #236 》の端《はじ》で時差《じさ》が10時間《じか
時計台《とけいだい》 | #267 時計台《とけいだい》
暖炉《だんろ》 | #047 方《ゆうがた》、暖炉《だんろ》のある家《いえ》
更地《さらち》 | #025 n>されていて、更地《さらち》だった場所《ばし
書店《しょてん》 | #310 《はつばいび》に書店《しょてん》に行列《ぎょうれ
最上階《さいじょうかい》 | #033 《かんせい》し、最上階《さいじょうかい》の展望《てんぼう
最低《さいてい》 | #132 しょくりょう》は最低《さいてい》3日《にち》分《
有利《ゆうり》 | #008 有利《ゆうり》な点《てん》
朝会《ちょうかい》 | #128 全校《ぜんこう》朝会《ちょうかい》で校長先生《こう
朝日《あさひ》 | #249 下《ろうか》は、朝日《あさひ》を受《う》けて鏡
期待《きたい》 | #250 期待《きたい》
木材《もくざい》 | #037 木材《もくざい》で建物《たてもの
木登《きのぼ》 | #162 opard>は、木登《きのぼ》りが得意《とくい
本代《ほんだい》 | #050 元日《がんじつ》本代《ほんだい》表《おもて》の選
本気《ほんき》 | #246 ious? = 本気《ほんき》で言《い》ってる
本音《ほんね》 | #163 本音《ほんね》
東部《とうぶ》 | #149 a>は、アフリカ東部《とうぶ》にあり、赤道《せ
松葉杖《まつばづえ》 | #274 けがで松葉杖《まつばづえ》の私《わたし》を
果汁《かじゅう》 | #147 果汁《かじゅう》。100% ju
果肉《かにく》 | #147 juice>は、果肉《かにく》が少《すこ》し残
柄《がら》 | #098 ーズンはチェック柄《がら》が流行《はや》る
柔道《じゅうどう》 | #035 柔道《じゅうどう》
柱《はしら》 | #040 柱《はしら》
栄養士《えいようし》 | #189 栄養士《えいようし》
校《こう》 | #285 しょうぶ》。32校《こう》の頂点《ちょうて
校内《こうない》 | #141 校内《こうない》だけの
校則《こうそく》 | #158 校則《こうそく》
校門《こうもん》 | #066 》を終《お》えて校門《こうもん》を出《で》る頃《
根付《ねつけ》 | #064 会《しゃかい》に根付《ねつけ》いた習《なら》わ
格別《かくべつ》 | #027 景色《けしき》は格別《かくべつ》だった。
案内係《あんないがかり》 | #078 案内係《あんないがかり》
案内板《あんないばん》 | #242 een>できると案内板《あんないばん》に書《か》かれて
棒針《ぼうばり》 | #151 と2本《ほん》の棒針《ぼうばり》でマフラーを<k
検察官《けんさつかん》 | #159 検察官《けんさつかん》
検査《けんさ》 | #091 物《てにもつ》の検査《けんさ》があり、列《れつ
楽《らく》 | #122 ご》にはずいぶん楽《らく》になった。
模型《もけい》 | #180 模型《もけい》
模様《もよう》 | #162 斑点《はんてん》模様《もよう》の<leopar
横浜《よこはま》 | #048 横浜《よこはま》の中華街《ちゅう
欠席《けっせき》 | #019 欠席《けっせき》する
次第《しだい》 | #069 頼《たよ》る・〜次第《しだい》。It depe
歌声《うたごえ》 | #157 歌声《うたごえ》
歓迎《かんげい》 | #129 手書《てが》きの歓迎《かんげい》ボードを持《も》
止《ど》 | #085 ricity>が止《ど》まり、夜《よる》
正《せい》 | #111 校《がっこう》の正《せい》<gate>は朝
正直《しょうじき》 | #128 honest(正直《しょうじき》な)の名詞《めい
正義《せいぎ》 | #148 正義《せいぎ》
武士《ぶし》 | #039 張《みはっ》った武士《ぶし》の気分《きぶん》
歯痛《はいた》 | #122 歯痛《はいた》
歳《とし》 | #011 of ~ = 〜歳《とし》のときに。「時代
殺《ころ》 | #150 殺《ころ》す
母国《ぼこく》 | #126 母国《ぼこく》
毎月《まいつき》 | #181 ゲームのために、毎月《まいつき》のこづかいから5
気味《きみ》 | #127 風邪《かぜ》気味《きみ》の
気圧《きあつ》 | #213 》形《かたち》。気圧《きあつ》・水圧《すいあつ
気球《ききゅう》 | #027 気球《ききゅう》
気象《きしょう》 | #094 ょうほう》では、気象《きしょう》の<expert
気配《けはい》 | #099 で後《うし》ろに気配《けはい》を<felt>し
水圧《すいあつ》 | #213 気圧《きあつ》・水圧《すいあつ》にも使《つか》う
水着《みずぎ》 | #293 水着《みずぎ》
水車《すいしゃ》 | #302 水車《すいしゃ》
江戸《えど》 | #206 江戸《えど》<period>
決め手《きめて》 | #015 像《えいぞう》が｜決め手《きめて》となり、3日《に
決勝《けっしょう》 | #042 今年《ことし》も決勝《けっしょう》まで勝《か》ち上
決勝進出《けっしょうしんしゅつ》 | #161 ぶ》初《はつ》の決勝進出《けっしょうしんしゅつ》という結果《けっ
決行《けっこう》 | #069 足《えんそく》が決行《けっこう》か中止《ちゅうし
油《あぶら》 | #190 l = オリーブ油《あぶら》。
沿道《えんどう》 | #045 たいかい》では、沿道《えんどう》に並《なら》んだ
法学《ほうがく》 | #089 法学《ほうがく》
法廷《ほうてい》 | #159 awyer>は、法廷《ほうてい》で証拠《しょうこ
法律《ほうりつ》 | #064 法律《ほうりつ》
法被《はっぴ》 | #175 スでは、そろいの法被《はっぴ》を着《き》た<m
活発《かっぱつ》 | #007 active(活発《かっぱつ》な)の名詞《めい
流行《はや》 | #098 ック柄《がら》が流行《はや》るらしい。
流行《りゅうこう》 | #064 流行《りゅうこう》
海外《かいがい》 | #186 海外《かいがい》の
混乱《こんらん》 | #134 混乱《こんらん》させる
添乗員《てんじょういん》 | #129 添乗員《てんじょういん》
清掃活動《せいそうかつどう》 | #030 岸《かいがん》の清掃活動《せいそうかつどう》で、ガラスの<b
清書《せいしょ》 | #282 清書《せいしょ》
渋滞《じゅうたい》 | #005 渋滞《じゅうたい》
温室《おんしつ》 | #038 温室《おんしつ》
湖畔《こはん》 | #202 》く中《なか》、湖畔《こはん》で鳥《とり》の声
満員電車《まんいんでんしゃ》 | #269 満員電車《まんいんでんしゃ》で座《すわ》れず
満天《まんてん》 | #097 プラネタリウムの満天《まんてん》の星《ほし》は、
溺《おぼ》 | #237 溺《おぼ》れかけた子《こ》
演劇部《えんげきぶ》 | #255 彼《かれ》は演劇部《えんげきぶ》に入《はい》って
演奏会《えんそうかい》 | #054 演奏会《えんそうかい》
演奏旅行《えんそうりょこう》 | #284  tour = 演奏旅行《えんそうりょこう》。
演者《えんしゃ》 | #205 演者《えんしゃ》
漕《こ》 | #027 んかん》オールを漕《こ》いだ。腕《うで》
激《はげ》 | #139 激《はげ》しい
火鉢《ひばち》 | #155 火鉢《ひばち》
灯台《とうだい》 | #302 灯台《とうだい》
炉《ろ》 | #103 作《つく》られた炉《ろ》。
炎《ほのお》 | #155 て、揺《ゆ》れる炎《ほのお》の明《あ》かりで
炭酸水《たんさんすい》 | #147 炭酸水《たんさんすい》
無実《むじつ》 | #159 しめ》しながら、無実《むじつ》の依頼人《いらい
無意味《むいみ》 | #211 無意味《むいみ》な
無意識《むいしき》 | #119 と》をするとき、無意識《むいしき》に髪《かみ》を触
無線《むせん》 | #304 eless = 無線《むせん》(ワイヤレス)。
無関係《むかんけい》 | #069 〜と無関係《むかんけい》である
無関心《むかんしん》 | #210 無関心《むかんしん》な
無駄《むだ》 | #298 時間《じかん》の無駄《むだ》。food wa
焼き肉《やきにく》 | #152 a>は、キムチや｜焼き肉《やきにく》の食文化《しょく
焼却《しょうきゃく》 | #226 焼却《しょうきゃく》する
煙突《えんとつ》 | #047 煙突《えんとつ》
照明《しょうめい》 | #059 照明《しょうめい》
熟練《じゅくれん》 | #260 llful = 熟練《じゅくれん》した。
爆弾《ばくだん》 | #018 <atomic>爆弾《ばくだん》の被害《ひがい》
爆撃機《ばくげきき》 | #028 omber = 爆撃機《ばくげきき》。
爪《つめ》 | #261 爪《つめ》
物置《ものおき》 | #038 物置《ものおき》
物音《ものおと》 | #123 》にガタンという物音《ものおと》を<heard>
特別展《とくべつてん》 | #253 びじゅつかん》の特別展《とくべつてん》では、ふだん公開
特定《とくてい》 | #199 特定《とくてい》の
特徴《とくちょう》 | #162 ウ柄《がら》)が特徴《とくちょう》のネコ科《か》動
特技《とくぎ》 | #119 特技《とくぎ》
犠牲者《ぎせいしゃ》 | #174 《ちか》くには、犠牲者《ぎせいしゃ》を悼《いた》む<
独り占《ひとりじ》 | #248 ｜独り占《ひとりじ》めする
王《おう》 | #164 ひゃくじゅう》の王《おう》と呼《よ》ばれる
王国《おうこく》 | #032 サッカー王国《おうこく》と呼《よ》ばれる
班《はん》 | #125 ても夜《よる》の班《はん》別《べつ》自由行
球団《きゅうだん》 | #096 は地元《じもと》球団《きゅうだん》の大《だい》<f
理屈《りくつ》 | #131 理屈《りくつ》
理想《りそう》 | #223 理想《りそう》
琵琶湖《びわこ》 | #154  Biwa = 琵琶湖《びわこ》。
環境問題《かんきょうもんだい》 | #054 開《ひら》かれ、環境問題《かんきょうもんだい》について3日間《
瓶《かめ》 | #233 ャムの空《あ》き瓶《かめ》は、洗《あら》っ
生き残《いきのこ》 | #275 ｜生き残《いきのこ》る
生み出《うみだ》 | #063 たら》しいものを｜生み出《うみだ》す力《ちから》。
生命《せいめい》 | #150 生命《せいめい》を奪《うば》うこ
生存《せいぞん》 | #275 vival = 生存《せいぞん》。sur(超《こ
生徒会《せいとかい》 | #193 生徒会《せいとかい》は、地域《ちいき
生活上《せいかつじょう》 | #120 + -ship。生活上《せいかつじょう》の困難《こんなん
生物《せいぶつ》 | #300  野生《やせい》生物《せいぶつ》。
生計《せいけい》 | #216  -al。それで生計《せいけい》を立《た》てる人
産地《さんち》 | #207 ンゴーやバナナの産地《さんち》として有名《ゆう
産業《さんぎょう》 | #115 車《じどうしゃ》産業《さんぎょう》でも知《し》られ
申込書《もうしこみしょ》 | #231 申込書《もうしこみしょ》
町並《まちな》 | #201 の<past>の町並《まちな》みが残《のこ》っ
町人《ちょうにん》 | #206 時代《じだい》に町人《ちょうにん》の文化《ぶんか》
画質《がしつ》 | #058 画質《がしつ》
画面全体《がめんぜんたい》 | #240 やく》するとき、画面全体《がめんぜんたい》が見《み》やすい
留学《りゅうがく》 | #074 留学《りゅうがく》当初《とうしょ》
留学生《りゅうがくせい》 | #052 《なりた》つと、留学生《りゅうがくせい》との交流《こうり
留年《りゅうねん》 | #117 留年《りゅうねん》する
略語《りゃくご》 | #026 )。bike は略語《りゃくご》。
痛感《つうかん》 | #179 《たいせつ》さを痛感《つうかん》した。
癖《くせ》 | #119 個人《こじん》の癖《くせ》・習慣《しゅうか
発売日《はつばいび》 | #310 刊《しんかん》は発売日《はつばいび》に書店《しょてん
発想《はっそう》 | #063 《みじか》でも、発想《はっそう》の<creati
発祥《はっしょう》 | #090 サッカー発祥《はっしょう》の地《ち》とされ
登場人物《とうじょうじんぶつ》 | #044 「登場人物《とうじょうじんぶつ》・文字《もじ》」
白壁《しらかべ》 | #039 白壁《しらかべ》が美《うつく》し
白組《しろぐみ》 | #306 白組《しろぐみ》は綱引《つなひき
百獣《ひゃくじゅう》 | #164 百獣《ひゃくじゅう》の王《おう》と呼
皮《かわ》 | #261 物《くだもの》の皮《かわ》にも使《つか》う
皮肉《ひにく》 | #131 皮肉《ひにく》だけ
皮膚《ひふ》 | #261 皮膚《ひふ》
皿洗《さらあら》 | #065 散歩《さんぽ》、皿洗《さらあら》い、玄関《げんか
益虫《えきちゅう》 | #150 ミツバチのような益虫《えきちゅう》まで減《へ》らし
盛《さか》 | #264 《べいさく》りが盛《さか》んだ。
監視員《かんしいん》 | #237 子《こ》どもを、監視員《かんしいん》が10秒《びょう
目撃《もくげき》 | #015 目撃《もくげき》する
目次《もくじ》 | #058 目次《もくじ》 = (tabl
直後《ちょくご》 | #077 マラソンのゴール直後《ちょくご》、彼《かれ》は5
相撲《すもう》 | #182 ウランバートル。相撲《すもう》の力士《りきし》
県内《けんない》 | #196 県内《けんない》へ
県外《けんがい》 | #117 4月《がつ》から県外《けんがい》の大学《だいがく
県大会《けんたいかい》 | #043 県大会《けんたいかい》を勝《か》ち抜《
真っ赤《まっか》 | #261 の<skin>が｜真っ赤《まっか》になって、三日間
真似《まね》 | #184 何度《なんど》も真似《まね》た。
真剣《しんけん》 | #246 真剣《しんけん》な
真実《しんじつ》 | #288 truth = 真実《しんじつ》。come tr
真顔《まがお》 | #156 人《ほんにん》は真顔《まがお》だったのが余計《
眼鏡《めがね》 | #049 新《あたら》しい眼鏡《めがね》をかけると、今《
着地《ちゃくち》 | #204 《かんぺき》で、着地《ちゃくち》の瞬間《しゅんか
短冊《たんざく》 | #305 夕《たなばた》の短冊《たんざく》に「家族《かぞく
砂紋《さもん》 | #280 は、庭《にわ》の砂紋《さもん》を眺《なが》めな
研修《けんしゅう》 | #256 研修《けんしゅう》
研究《けんきゅう》 | #217 しん》のロボット研究《けんきゅう》について実演《じ
研究者《けんきゅうしゃ》 | #232 rcher = 研究者《けんきゅうしゃ》。
砲弾《ほうだん》 | #028 砲弾《ほうだん》の薬《くすり》き
破壊《はかい》 | #073 ction = 破壊《はかい》。
破棄《はき》 | #253 破棄《はき》される
示《しめ》 | #094 画像《がぞう》を示《しめ》しながら、今後《
社交的《しゃこうてき》 | #254 社交的《しゃこうてき》な
祝福《しゅくふく》 | #019 ょう》のホテルは祝福《しゅくふく》の拍手《はくしゅ
神輿《しんよ》 | #175 おも》さ1トンの神輿《しんよ》を担《にな》いだ
祭典《さいてん》 | #141 tional>な祭典《さいてん》で、街《まち》は
禁《きん》 | #278 禁《きん》じた
福引《ふくびき》 | #166 ょうてんがい》の福引《ふくびき》きで、1000本
私服《しふく》 | #293 私服《しふく》
私立《しりつ》 | #186 私立《しりつ》の
科《か》 | #162 くちょう》のネコ科《か》動物《どうぶつ》
科学《かがく》 | #239 science(科学《かがく》)+ -ist。
秒針《びょうしん》 | #219 時計《とけい》の秒針《びょうしん》だけが聞《き》こ
称《とな》 | #106 ついた。どちらも称《とな》えられるべき内容
移動式《いどうしき》 | #113 ゲル(移動式《いどうしき》の家《いえ》)
税関《ぜいかん》 | #064 stoms = 税関《ぜいかん》。
穏《おだ》 | #139 穏《おだ》やかな
立場《たちば》 | #258 《じょうたい》・立場《たちば》。
競技会《きょうぎかい》 | #054 競技会《きょうぎかい》
筆頭《ひっとう》 | #227 ecycle の筆頭《ひっとう》。
筋力《きんりょく》 | #138 たいいくかん》で筋力《きんりょく》トレーニングをす
筋肉痛《きんにくつう》 | #122 筋肉痛《きんにくつう》
筋道《すじみち》 | #282 inking>の筋道《すじみち》を書《か》きなさ
管理者《かんりしゃ》 | #168 nager = 管理者《かんりしゃ》。
米作《べいさく》 | #264 が高《たか》く、米作《べいさく》りが盛《さか》ん
系《けい》 | #144 だい》の日《ひ》系《けい》人《にん》社会《
紅白《こうはく》 | #285 紅白《こうはく》戦《せん》
素人《しろうと》 | #216 素人《しろうと》の
紹介《しょうかい》 | #128 せんせい》からも紹介《しょうかい》された。
終了後《しゅうりょうご》 | #097 nate>した。終了後《しゅうりょうご》も席《せき》を立
終止符《しゅうしふ》 | #206 》」「ピリオド(終止符《しゅうしふ》)」の意味《いみ
組《く》 | #037 》の棚《たな》を組《く》み上《あ》げる。
組織《そしき》 | #193 ation = 組織《そしき》。compute
経験豊富《けいけんほうふ》 | #093 enced = 経験豊富《けいけんほうふ》な。
結婚《けっこん》 | #067 結婚《けっこん》
結晶《けっしょう》 | #279 amwork>の結晶《けっしょう》だ。
結末《けつまつ》 | #286 いが生《う》んだ結末《けつまつ》ゆえに今《いま》
結束《けっそく》 | #218 はなく、チームの結束《けっそく》を深《ふか》める
絶好調《ぜっこうちょう》 | #262 絶好調《ぜっこうちょう》
絶滅《ぜつめつ》 | #300 絶滅《ぜつめつ》した
継続《けいぞく》 | #183 「継続《けいぞく》は力《ちから》な
総出《そうで》 | #061 、部員《ぶいん》総出《そうで》でスポンジで吸《
総合大学《そうごうだいがく》 | #294 総合大学《そうごうだいがく》。college
総立《そうだ》 | #229 おうえんせき》は総立《そうだ》ちになった。
編《あ》 | #151 ひと目《め》ずつ編《あ》まれた赤《あか》
編集《へんしゅう》 | #143 編集《へんしゅう》する人《にん》
編集者《へんしゅうしゃ》 | #310 編集者《へんしゅうしゃ》
練習試合《れんしゅうじあい》 | #043 練習試合《れんしゅうじあい》
縁《へり》 | #056 んかんけい》の「縁《へり》」も。
縫《ぬ》 | #059 で習《なら》った縫《ぬ》い方《ほう》で手
繁栄《はんえい》 | #120 繁栄《はんえい》
缶《かん》 | #030 缶《かん》
義務《ぎむ》 | #140 義務《ぎむ》
義足《ぎそく》 | #198 pics>では、義足《ぎそく》のジャンパーや車
羽根《はね》 | #302 《へいや》には、羽根《はね》を回《まわ》して
考え方《かんがえかた》 | #194 ｜考え方《かんがえかた》
聴衆《ちょうしゅう》 | #203 場《ひろば》で、聴衆《ちょうしゅう》200人《にん》
職場《しょくば》 | #093 家《のうか》での職場《しょくば》体験《たいけん》
肖像画《しょうぞうが》 | #114 るベートーベンの肖像画《しょうぞうが》。彼《かれ》の母
肘《ひじ》 | #169 ょくじちゅう》に肘《ひじ》をつかない、口《
背中《せなか》 | #261 り忘《わす》れ、背中《せなか》の<skin>が
背番号《せばんごう》 | #096 手《せんしゅ》の背番号《せばんごう》も打率《だりつ》
腕前《うでまえ》 | #260 で身《み》につく腕前《うでまえ》。skillfu
腹痛《ふくつう》 | #122 hache = 腹痛《ふくつう》。
自宅《じたく》 | #002 自宅《じたく》で
自由研究《じゆうけんきゅう》 | #063 彼《かれ》の自由研究《じゆうけんきゅう》は、ペットボトル
自由行動《じゆうこうどう》 | #125 はん》別《べつ》自由行動《じゆうこうどう》だった。3日《に
至《いた》 | #282 》えより、そこに至《いた》る<thinki
舞《ま》 | #020 う》・振《ふ》る舞《ま》い。
舞台装置《ぶたいそうち》 | #059 舞台装置《ぶたいそうち》
芋《いも》 | #120 き抜《ぬ》いた。芋《いも》のつるまで食《た
芝生《しばふ》 | #167 園《こうえん》の芝生《しばふ》に猫《ねこ》が気
花柄《はながら》 | #309 》プレゼントを、花柄《はながら》の紙《かみ》で<
花道《はなみち》 | #161 退《いんたい》の花道《はなみち》を飾《かざ》った
芸術家《げいじゅつか》 | #016 芸術家《げいじゅつか》
苦痛《くつう》 | #208 苦痛《くつう》
苦難《くなん》 | #120 苦難《くなん》
英雄《えいゆう》 | #124 英雄《えいゆう》
茎《くき》 | #275 e>できるよう、茎《くき》に水《みず》を蓄
荷造《にづく》 | #031 越《ひっこ》しの荷造《にづく》りで、本《ほん》
華道《かどう》 | #035 華道《かどう》
落ち込《おちこ》 | #070 ｜落ち込《おちこ》んだ
蒸気《じょうき》 | #018 蒸気《じょうき》の
蓄《たくわ》 | #275 》に水《みず》を蓄《たくわ》える仕組《しく》
薄目《うすめ》 | #167 《ちか》づいても薄目《うすめ》を開《ひら》ける
薪《たきぎ》 | #103 place>では薪《たきぎ》がパチパチと燃《
血液《けつえき》 | #290 血液《けつえき》<type>はA
血液型《けつえきがた》 | #288 たんじょうび》も血液型《けつえきがた》も、聞《き》けば
行儀《ぎょうぎ》 | #169 行儀《ぎょうぎ》
行進《こうしん》 | #023 《にゅうじょう》行進《こうしん》の先頭《せんとう
街並《まちなみ》 | #014 《えどじだい》の街並《まちなみ》みが残《のこ》っ
衝撃《しょうげき》 | #250 衝撃《しょうげき》
衣装《いしょう》 | #059 衣装《いしょう》
表情《ひょうじょう》 | #052 、身《み》ぶりや表情《ひょうじょう》を使《つか》えば
表現力《ひょうげんりょく》 | #146 程《おんてい》・表現力《ひょうげんりょく》を10点《てん》
表示板《ひょうじばん》 | #196 英語《えいご》の表示板《ひょうじばん》が並《なら》んで
袖《そで》 | #293 niform>に袖《そで》を通《とう》した
被害《ひがい》 | #018 弾《ばくだん》の被害《ひがい》について、実物《
裁判官《さいばんかん》 | #146 「裁判官《さいばんかん》」の意味《いみ》
裁判所《さいばんしょ》 | #061 うぎじょう》。「裁判所《さいばんしょ》」の意味《いみ》
装置《そうち》 | #063 》を作《つく》る装置《そうち》だった。材料《ざ
装飾《そうしょく》 | #022 装飾《そうしょく》
裏側《うらがわ》 | #032 ちきゅう》のほぼ裏側《うらがわ》にある。
裏方《うらかた》 | #124 裏方《うらかた》
補助《ほじょ》 | #234 補助《ほじょ》輪《わ》なしで自
補助線《ほじょせん》 | #271 gle>したが、補助線《ほじょせん》一本《いっぽん》
製品《せいひん》 | #196 社《かいしゃ》は製品《せいひん》の8割《わり》を
製粉《せいふん》 | #302 )+ mill(製粉《せいふん》機《き》)。
製造《せいぞう》 | #284 が》れ込《こ》む製造《せいぞう》ラインを間近《ま
襟巻《えりまき》 | #151 れた赤《あか》い襟巻《えりまき》きは世界《せかい
見え方《みえかた》 | #194 世界《せかい》の｜見え方《みえかた》・将来《しょうら
見下《みお》 | #033 まちぜんたい》を見下《みお》ろせるようになっ
見失《みうしな》 | #165 見失《みうしな》った
見張《みはっ》 | #039 き、敵《かな》を見張《みはっ》った武士《ぶし》
見捨《みす》 | #274 見捨《みす》てる
見物人《けんぶつにん》 | #094 見物人《けんぶつにん》
見直《みなお》 | #179 ょくご》だった。見直《みなお》しの大切《たいせ
見習《みなら》 | #216 見習《みなら》いの
見通《みとお》 | #194 《しょうらい》の見通《みとお》し。
親子《おやこ》 | #300 ild>のシカの親子《おやこ》に出会《であ》っ
親戚《しんせき》 | #019 けっこんしき》に親戚《しんせき》が30人《にん》
親族《しんぞく》 | #170 月《らいげつ》、親族《しんぞく》そろって式《しき
観光地《かんこうち》 | #126 観光地《かんこうち》
観客席《かんきゃくせき》 | #101 》げた。ベンチも観客席《かんきゃくせき》も涙《なみだ》だ
観賞《かんしょう》 | #203 観賞《かんしょう》する
解散《かいさん》 | #112 解散《かいさん》する
解説者《かいせつしゃ》 | #124 解説者《かいせつしゃ》
言い換《いいか》 | #001 きる。can の｜言い換《いいか》え。
計算力《けいさんりょく》 | #063 計算力《けいさんりょく》
計量《けいりょう》 | #298 計量《けいりょう》する
記帳《きちょう》 | #021 《つうちょう》に記帳《きちょう》すると、わずかだ
記念切手《きねんきって》 | #051 世界《せかい》の記念切手《きねんきって》を<collec
記憶《きおく》 | #174 memory(記憶《きおく》)と同語《どうご
記憶力《きおくりょく》 | #063 記憶力《きおくりょく》
設計図《せっけいず》 | #180 設計図《せっけいず》だけ
設計者《せっけいしゃ》 | #071 igner = 設計者《せっけいしゃ》。
訴《うった》 | #209 策《せいさく》を訴《うった》えている。
診断《しんだん》 | #137 《しゅうかん》と診断《しんだん》された。大会《た
証拠《しょうこ》 | #159 廷《ほうてい》で証拠《しょうこ》を示《しめ》しな
