々《々》 | #498 n>の島《しま》々《々》、沖縄《おきなわ
孤児《こじ》 | #348 《きょうかい》で孤児《こじ》たちの世話《せわ
学生寮《がくせいりょう》 | #087 学生寮《がくせいりょう》
学食《がくしょく》 | #063 teria = 学食《がくしょく》。
孫《まご》 | #228 。男《おとこ》の孫《まご》は grands
孫娘《まごむすめ》 | #228 孫娘《まごむすめ》
孫息子《まごむすこ》 | #229 孫息子《まごむすこ》
宅配《たくはい》 | #387 宅配《たくはい》の<pizza>
宇宙船《うちゅうせん》 | #469 eship = 宇宙船《うちゅうせん》。
安堵《あんど》 | #474 胆《らくたん》や安堵《あんど》の息《いき》。
安売《やすう》 | #448 安売《やすう》り
安定《あんてい》 | #212 い炎《ほのお》が安定《あんてい》して出《で》てい
安静《あんせい》 | #188 布団《ふとん》で安静《あんせい》にするしかない。
完売《かんばい》 | #492 れて、ケースには完売《かんばい》の札《さつ》が立
完治《かんち》 | #275 injury>が完治《かんち》するまで3週間《
定期刊行物《ていきかんこうぶつ》 | #309 ん》誌《し》など定期刊行物《ていきかんこうぶつ》。
定期券《ていきけん》 | #289 定期券《ていきけん》
定期的《ていきてき》 | #423 larly = 定期的《ていきてき》に。レギュラーサ
定食《ていしょく》 | #063 日替《ひが》わり定食《ていしょく》は400円《えん
宝庫《ほうこ》 | #616 ldlife>の宝庫《ほうこ》で、クマやシカ、
実写映画《じっしゃえいが》 | #015 実写映画《じっしゃえいが》
実在《じつざい》 | #189 ion>であり、実在《じつざい》の人物《じんぶつ
実話《じつわ》 | #189 fiction(実話《じつわ》)の対《つい》。
宣言《せんげん》 | #068 のミーティングで宣言《せんげん》した。
家々《いえいえ》 | #252 ょうじょう》から家々《いえいえ》の屋根《やね》と
家来《けらい》 | #407 家来《けらい》
家畜《かちく》 | #183 物《さくもつ》や家畜《かちく》を育《そだ》てる
家計簿《かけいぼ》 | #008 家計簿《かけいぼ》
家電《かでん》 | #209 家電《かでん》
宿泊《しゅくはく》 | #258 ck in = 宿泊《しゅくはく》手続《てつづ》き
宿泊施設《しゅくはくしせつ》 | #258 宿泊施設《しゅくはくしせつ》。check i
寄せ書《よせが》 | #182 ぜんいん》からの｜寄せ書《よせが》きを渡《わた》す
寒気《さむけ》 | #188 寒気《さむけ》だけ
寝台列車《しんだいれっしゃ》 | #105 寝台列車《しんだいれっしゃ》の<compar
寝息《ねいき》 | #307 》もしないうちに寝息《ねいき》を立《た》て始《
寝起《ねお》 | #151 寝起《ねお》きの
審査《しんさ》 | #375 》港《みなと》の審査《しんさ》で顔写真《かおじ
寮《りょう》 | #018 寮《りょう》の食堂《しょくど
対戦相手《たいせんあいて》 | #534 対戦相手《たいせんあいて》
対策《たいさく》 | #074 対策《たいさく》
専念《せんねん》 | #131 んべんきょう》に専念《せんねん》するか、1週間《
尊重《そんちょう》 | #277 尊重《そんちょう》する
導入《どうにゅう》 | #278 《しょうかい》・導入《どうにゅう》。自己紹介《じこ
小型《こがた》 | #259 小型《こがた》の
小川《おがわ》 | #514 小川《おがわ》
小道具《こどうぐ》 | #412 小道具《こどうぐ》
小銭《こぜに》 | #117 集《あつ》まった小銭《こぜに》を1枚《まい》ず
小魚《こざかな》 | #259 よ》ぐダイバーが小魚《こざかな》のように見《み》
小麦《こむぎ》 | #500 小麦《こむぎ》
少《すく》 | #159 率《こうりつ》。少《すく》ない労力《ろうり
尽《ことごと》 | #426 ある限《かぎ》り尽《ことごと》きることがない。
尾根《おね》 | #379 スの山《やま》の尾根《おね》に石造《いしづく
屋内《おくない》 | #021 屋内《おくない》の大型《おおがた
展《てん》 | #173 の科学《かがく》展《てん》に推薦《すいせん
展示室《てんじしつ》 | #166 うけと》ってから展示室《てんじしつ》へ進《すす》んだ
山梨《やまなし》 | #376 山梨《やまなし》の<peach>
山火《やまび》 | #238 発《かいはつ》と山火《やまび》事《こと》でその
岩場《いわば》 | #431 みは》らしのよい岩場《いわば》で10分《ふん》
岩山《いわやま》 | #075 岩山《いわやま》や地中《ちちゅう
岬《みさき》 | #075 岬《みさき》
川風《かわかぜ》 | #127 ダルをこぐたび、川風《かわかぜ》が頬《ほお》を抜
巣《す》 | #338 巣《す》
工事現場《こうじげんば》 | #056 しい家《いえ》の工事現場《こうじげんば》では、<buil
工夫《くふう》 | #165 《たの》しませる工夫《くふう》であふれている。
工業製品《こうぎょうせいひん》 | #560 入《ゆにゅう》し工業製品《こうぎょうせいひん》を輸出《ゆしゅつ
工業都市《こうぎょうとし》 | #067 工業都市《こうぎょうとし》
工芸《こうげい》 | #121 craft(工芸《こうげい》)+ perso
左手《ひだりて》 | #436 母《はは》の左手《ひだりて》の<ring>は
差し込《さしこ》 | #290 e。鍵《かぎ》を｜差し込《さしこ》む穴《あな》。
差別《さべつ》 | #344 》やレストランで差別《さべつ》される時代《じだ
巻き上《まきあ》 | #572 後《うし》ろから｜巻き上《まきあ》げるように絞《し
巻き毛《まきげ》 | #395 oodle>は、｜巻き毛《まきげ》がふんわり丸《ま
巻数《かんすう》 | #600 》・本《ほん》の巻数《かんすう》など「量《りょう
市長《しちょう》 | #317 市長《しちょう》
帆《ほ》 | #623 には白《しろ》い帆《ほ》を畳《たたみ》ん
帝国《ていこく》 | #379 》はリマ。インカ帝国《ていこく》の中心地《ちゅう
帰宅《きたく》 | #171 帰宅《きたく》
帰省《きせい》 | #255 みなとまち》で、帰省《きせい》するたび、父《ち
帳《ちょう》 | #008 写真《しゃしん》帳《ちょう》。音楽《おんがく
常連《じょうれん》 | #126 うかん》)から「常連《じょうれん》」が原義《げんぎ
平《たい》 | #371 うこう》パネル。平《たい》らな板状《いたじ
平凡《へいぼん》 | #173 平凡《へいぼん》な
平地《へいち》 | #359 oxygen>が平地《へいち》の3分《ふん》の
平均身長《へいきんしんちょう》 | #178 当時《とうじ》の平均身長《へいきんしんちょう》と比《くら》べる
平気《へいき》 | #459 彼《かれ》は「平気《へいき》だよ」と笑《わら
平積《ひらづ》 | #467 編《ぞくへん》が平積《ひらづ》みされていて、迷
平等《びょうどう》 | #168 ality = 平等《びょうどう》。イコール(=)
年々《ねんねん》 | #238 積《めんせき》は年々《ねんねん》狭《はさ》まって
年代順《ねんだいじゅん》 | #008 真《しゃしん》が年代順《ねんだいじゅん》に貼《は》られ、
年内《ねんない》 | #233 届《とど》くよう年内《ねんない》に投函《とうかん
年前《ねんまえ》 | #303 数億《すうおく》年前《ねんまえ》とほぼ同《おな》
年賀状《ねんがじょう》 | #233 年賀状《ねんがじょう》は新年《しんねん
年配《ねんぱい》 | #161 年配《ねんぱい》の
幼児語《ようじご》 | #329 mother の幼児語《ようじご》。mom よりさ
広告会社《こうこくがいしゃ》 | #312 広告会社《こうこくがいしゃ》
広大《こうだい》 | #595 広大《こうだい》な
店長《てんちょう》 | #084 店長《てんちょう》
府《ふ》 | #404 の都道《とどう》府《ふ》<prefect
座布団《ざぶとん》 | #488 座布団《ざぶとん》
座面《ざめん》 | #618 椅子《いす》は、座面《ざめん》に木目《もくめ》
建築業《けんちくぎょう》 | #056 建築業《けんちくぎょう》者《もの》
建造物《けんぞうぶつ》 | #052 《たに》をまたぐ建造物《けんぞうぶつ》。
引き立《ひきた》 | #449 と甘《かん》みが｜引き立《ひきた》つ。祖母《そぼ》
引き起《ひきお》 | #074 《どうし》では「｜引き起《ひきお》こす」。
引退試合《いんたいじあい》 | #070 》を挙《あ》げ、引退試合《いんたいじあい》では敵《てき》チ
弧《こ》 | #418 色《なないろ》の弧《こ》。
強化《きょうか》 | #372 強化《きょうか》された
弾《だん》 | #237 物《ほんもの》の弾《だん》は入《はい》って
当たり前《あたりまえ》 | #054 >してくれる。「｜当たり前《あたりまえ》」が国《くに》に
当時《とうじ》 | #178 《はなし》だが、当時《とうじ》の平均身長《へい
当番《とうばん》 | #112 ooking>の当番《とうばん》で、レパートリー
形式的《けいしきてき》 | #570 形式的《けいしきてき》に
彩《さい》 | #386 く》路《みち》を彩《さい》っていた。
彫《ほ》 | #456 な石《いし》から彫《ほ》り出《だ》された
彫刻家《ちょうこくか》 | #364 彫刻家《ちょうこくか》
役割分担《やくわりぶんたん》 | #298 《き》いてから、役割分担《やくわりぶんたん》を決《き》めた。
待ち時間《まちじかん》 | #309 《びよういん》の｜待ち時間《まちじかん》に、ファッション
待ち構《まちかま》 | #621 関《げんかん》で｜待ち構《まちかま》えていた。
待ち遠《まちどー》 | #028 20分《ふん》が｜待ち遠《まちどー》しかった。
後ろ足《うしろあし》 | #286 ngaroo>が｜後ろ足《うしろあし》で跳《は》ねなが
復元《ふくげん》 | #268 復元《ふくげん》する
復旧《ふっきゅう》 | #074 木《き》だった。復旧《ふっきゅう》には半日《はんに
微笑《ほほえ》 | #541 ailand>は微笑《ほほえ》みの国《くに》と
心強《こころづよ》 | #180 だが、それだけで心強《こころづよ》かった。
心拍数《しんぱくすう》 | #247  rate = 心拍数《しんぱくすう》。
心臓病《しんぞうびょう》 | #144 sease = 心臓病《しんぞうびょう》。
忍《しの》 | #486 sneak(忍《しの》び歩《ある》く)
忍《にん》 | #481 かん》をかけて「忍《にん》」の字《じ》を｜
応《こた》 | #519 ルの声《こえ》に応《こた》えてもう1曲《き
応援団《おうえんだん》 | #032 応援団《おうえんだん》
応援歌《おうえんか》 | #307 応援歌《おうえんか》
応用《おうよう》 | #536 科学《かがく》を応用《おうよう》した技術《ぎじゅ
思い出《おもいで》 | #322 ｜思い出《おもいで》
性別《せいべつ》 | #121 ftsman の性別《せいべつ》を問《と》わない
想像力《そうぞうりょく》 | #268 ation = 想像力《そうぞうりょく》。
想定《そうてい》 | #153 収《おさ》まった想定《そうてい》で校庭《こうてい
意外《いがい》 | #293 きは1マスずつと意外《いがい》に地味《じみ》だ
愛玩動物《あいがんどうぶつ》 | #380 愛玩動物《あいがんどうぶつ》。pet sho
愛用《あいよう》 | #393 い1枚《まい》を愛用《あいよう》している。
愛称《あいしょう》 | #285 Judith の愛称《あいしょう》。英語圏《えいご
感覚《かんかく》 | #461 感覚《かんかく》
感謝祭《かんしゃさい》 | #090 感謝祭《かんしゃさい》
感銘《かんめい》 | #269 impress(感銘《かんめい》を与《あた》える
慈善《じぜん》 | #079 慈善《じぜん》
憎《にく》 | #244 ら私《わたし》は憎《にく》まず、伝《つた》
懐《なつ》 | #087 歩《ある》いたと懐《なつ》かしそうに話《は
成《な》 | #440 ついたち》にして成《な》らず」のローマ。
成功率《せいこうりつ》 | #262 hunt>する。成功率《せいこうりつ》は2割《わり》ほ
戦国時代《せんごくじだい》 | #605 ぶつかん》には、戦国時代《せんごくじだい》の<warrio
戦士《せんし》 | #221 戦士《せんし》
所属《しょぞく》 | #037 o ~ = 〜に所属《しょぞく》する・〜のもので
扉《とびら》 | #105 室《こしつ》で、扉《とびら》を閉《し》めると
手に入《てにい》 | #588 》な水《みず》が｜手に入《てにい》らない地域《ちい
手分《てわ》 | #219 》。班《はん》で手分《てわ》けして、資料《し
手助《てだす》 | #023 手助《てだす》けする
手品《てじな》 | #310 手品《てじな》
手品師《てじなし》 | #310 ician = 手品師《てじなし》・魔法使《まほう
手拍子《てびょうし》 | #433 ゅう》では、まず手拍子《てびょうし》で<rhythm
手段《しゅだん》 | #565 》へ渡《わた》る手段《しゅだん》がなくなる。
手続《てつづ》 | #258 泊《しゅくはく》手続《てつづ》きをする。
手際《てぎわ》 | #084 ちあ》げながら、手際《てぎわ》よく3皿《さら》
打ち上《うちあ》 | #152 ftwood>が｜打ち上《うちあ》げられ、白《しろ
投函《とうかん》 | #233 内《ねんない》に投函《とうかん》する。
抜群《ばつぐん》 | #120 《あいしょう》が抜群《ばつぐん》だった。
担当《たんとう》 | #145 は私《わたし》の担当《たんとう》だ。油《あぶら》
拍子《ひょうし》 | #433 単語《たんご》。拍子《ひょうし》・調子《ちょうし
拝啓《はいけい》 | #477 拝啓《はいけい》
持ち帰《もちかえ》 | #495 ｜持ち帰《もちかえ》る
持ち越《もちこ》 | #455 45分《ふん》に｜持ち越《もちこ》された。
指導力《しどうりょく》 | #298 rship = 指導力《しどうりょく》。
指導者《しどうしゃ》 | #298 指導者《しどうしゃ》
指揮棒《しきぼう》 | #354 えるようだった。指揮棒《しきぼう》一本《いっぽん》
指輪《ゆびわ》 | #436 指輪《ゆびわ》
捕《とら》 | #544 捕《とら》った
捜索《そうさく》 | #171 捜索《そうさく》
掃除機《そうじき》 | #134 新《あたら》しい掃除機《そうじき》の<demons
授与《じゅよ》 | #320 <medal>が授与《じゅよ》される。首《くび
排気《はいき》 | #483 と車《くるま》の排気《はいき》ガスが混《ま》ざ
探し回《さがしまわ》 | #407 中《くにじゅう》｜探し回《さがしまわ》る。
接《せっ》 | #170 《こっきょう》を接《せっ》する。
推奨《すいしょう》 | #009 推奨《すいしょう》しない
推定《すいてい》 | #614 《どうぶつ》で、推定《すいてい》100頭《あたま
推測《すいそく》 | #235 推測《すいそく》する
掲示《けいじ》 | #347 《めいし》では「掲示《けいじ》・通知《つうち》
掲示板《けいじばん》 | #039 掲示板《けいじばん》
換気扇《かんきせん》 | #484 に慌《あわ》てて換気扇《かんきせん》を回《まわ》した
搬入《はんにゅう》 | #358 に大《おお》きな搬入《はんにゅう》口《くち》が残《
携《たずさ》 | #283 道《ほうどう》に携《たずさ》わる人《にん》。
操縦《そうじゅう》 | #111 操縦《そうじゅう》する
支店《してん》 | #049 《かいしゃ》の「支店《してん》」の意味《いみ》
支援《しえん》 | #079 地《ひさいち》を支援《しえん》する<chari
支配《しはい》 | #133 + cracy(支配《しはい》)。国民《こくみ
改装《かいそう》 | #358 《たてもの》で、改装《かいそう》の名残《なごり》
攻撃《こうげき》 | #341 》って、チームの攻撃《こうげき》を｜組み立《くみ
放《ほうっ》 | #061 《しゅんかん》に放《ほうっ》たれたシュートが
放流《ほうりゅう》 | #143 放流《ほうりゅう》する
政治的《せいじてき》 | #392 政治的《せいじてき》な
故郷《こきょう》 | #255 故郷《こきょう》
救命《きゅうめい》 | #281 acket = 救命《きゅうめい》胴衣《どうい》。
教《きょう》 | #091 キリスト教《きょう》の礼拝《れいはい
教卓《きょうたく》 | #039 教卓《きょうたく》
教育《きょういく》 | #070 n = キャリア教育《きょういく》。
散乱《さんらん》 | #049 branch>が散乱《さんらん》し、太《ふと》い
敬具《けいぐ》 | #477 紙《てがみ》の「敬具《けいぐ》」にあたる結《む
数億《すうおく》 | #303 呼《よ》ばれる。数億《すうおく》年前《ねんまえ》
数千《すうせん》 | #461 間《にんげん》の数千《すうせん》倍《ばい》ともい
数日《すうじつ》 | #525 《みず》なしでは数日《すうじつ》しかもたない。
数百万《すうひゃくまん》 | #573 《おおもの》には数百万《すうひゃくまん》円《えん》の値《
整列《せいれつ》 | #064 庭《こうてい》に整列《せいれつ》できた。
敷地内《しきちない》 | #154 e + way。敷地内《しきちない》の車用《くるまよ
文具《ぶんぐ》 | #312 00年《ねん》の文具《ぶんぐ》会社《かいしゃ》
文具店《ぶんぐてん》 | #508  shop = 文具店《ぶんぐてん》。station
文化的《ぶんかてき》 | #392 文化的《ぶんかてき》な
文句《もんく》 | #384 決《き》まり文句《もんく》
文法用語《ぶんぽうようご》 | #384 文法用語《ぶんぽうようご》
料理長《りょうりちょう》 | #601 料理長《りょうりちょう》
斜《なな》 | #353 斜《なな》めの
断水《だんすい》 | #464 結《とうけつ》で断水《だんすい》する家《いえ》が
新《しん》 | #298 新《しん》入《はい》り
新婚《しんこん》 | #087 新婚《しんこん》時代《じだい》
新居《しんきょ》 | #209 新居《しんきょ》に運《はこ》び込
新曲《しんきょく》 | #425 新曲《しんきょく》の「リリース」も
新生児《しんせいじ》 | #292 新生児《しんせいじ》の体重《たいじゅ
新発売《しんはつばい》 | #004 ment>には、新発売《しんはつばい》のアイスの写真《
新米《しんまい》 | #243 先《のきさき》に新米《しんまい》の袋《ふくろ》が
新聞紙《しんぶんし》 | #192 新聞紙《しんぶんし》
新鮮《しんせん》 | #080 新鮮《しんせん》な
方位《ほうい》 | #345 方位《ほうい》磁針《じしん》の
方角《ほうがく》 | #345 進《すす》むべき方角《ほうがく》が分《わ》かる。
方言《ほうげん》 | #274 方言《ほうげん》
施《ほどこ》 | #331 《そうりょ》への施《ほどこ》しを大切《たいせ
施錠《せじょう》 | #294 施錠《せじょう》する
旅券《りょけん》 | #375 《はっこう》する旅券《りょけん》。
旅行中《りょこうちゅう》 | #146 旅行中《りょこうちゅう》の
日差《ひざ》 | #371 <panel>が日差《ひざ》しを受《う》けて
日帰《ひがえ》 | #065 日帰《ひがえ》り遠足《えんそく
日常《にちじょう》 | #163 日常《にちじょう》
日替《ひが》 | #063 《ほうしき》で、日替《ひが》わり定食《ていし
日本式《にほんしき》 | #016 mation の日本式《にほんしき》短縮形《たんしゅ
日本最大《にほんさいだい》 | #315 <marsh>は日本最大《にほんさいだい》で、ぬかるんだ大
日誌《にっし》 | #283 聞《しんぶん》・日誌《にっし》)+ -ist。
日陰《ひかげ》 | #465 日陰《ひかげ》
旧友《きゅうゆう》 | #422 も、母《はは》は旧友《きゅうゆう》を一瞬《いっしゅ
旧称《きゅうしょう》 | #331 旧称《きゅうしょう》ビルマ。タイの西
昆虫《こんちゅう》 | #276 昆虫《こんちゅう》
明朝《みょうちょう》 | #552 明朝《みょうちょう》
映画鑑賞《えいがかんしょう》 | #385 映画鑑賞《えいがかんしょう》
昭和《しょうわ》 | #169 昭和《しょうわ》、平成《へいせい
昼間《ひるま》 | #297 夜景《やけい》も昼間《ひるま》のように明《あか
時代遅《じだいおく》 | #250 時代遅《じだいおく》れの
時報《じほう》 | #403 時報《じほう》は午後《ごご》5
時間割《じかんわり》 | #046 《らいしゅう》の時間割《じかんわり》の変更《へんこう
暖房器《だんぼうき》 | #249 暖房器《だんぼうき》具《ぐ》
暗号《あんごう》 | #048 暗号《あんごう》
暗算《あんざん》 | #011 《しょうねん》が暗算《あんざん》で4桁《けた》の
暗闇《くらやみ》 | #417 スの声《こえ》が暗闇《くらやみ》の部屋《へや》に
曖昧《あいまい》 | #175 ion>としては曖昧《あいまい》だ。
曲芸《きょくげい》 | #310 曲芸《きょくげい》の綱渡《つなわた
更衣室《こういしつ》 | #305  room = 更衣室《こういしつ》。
書き上《かきあ》 | #481 》」の字《じ》を｜書き上《かきあ》げた。
書き始《かきはじ》 | #272 算《ひっさん》を｜書き始《かきはじ》める前《まえ》に
最優秀《さいゆうしゅう》 | #408 ん》コンクールで最優秀《さいゆうしゅう》の<prize>
最古《さいこ》 | #297 最古《さいこ》の
最終回《さいしゅうかい》 | #544 彼《かれ》は最終回《さいしゅうかい》に140キロの速
最高峰《さいこうほう》 | #533 アフリカ最高峰《さいこうほう》キリマンジャロが
月光《げっこう》 | #521 月光《げっこう》
月刊《げっかん》 | #309 しゅうかんし》・月刊《げっかん》誌《し》など定期
月見《つきみ》 | #552 家族《かぞく》で月見《つきみ》団子《だんご》を
有料化《ゆうりょうか》 | #167 ジ袋《ふくろ》の有料化《ゆうりょうか》は、プラスチック
有望《ゆうぼう》 | #256 有望《ゆうぼう》な
有田《ありだ》 | #604 佐賀《さが》の有田《ありだ》<ware>は4
有袋類《ゆうたいるい》 | #286 を育《そだ》てる有袋類《ゆうたいるい》の代表《だいひょ
朗読《ろうどく》 | #089 朗読《ろうどく》
望遠鏡《ぼうえんきょう》 | #537 望遠鏡《ぼうえんきょう》
朝夕《あさゆう》 | #248 散歩《さんぽ》は朝夕《あさゆう》の涼《すず》しい
朝市《あさいち》 | #204 朝市《あさいち》の魚《さかな》は
朝晩《あさばん》 | #281 朝晩《あさばん》が冷《ひ》えてき
木曜《もくよう》 | #211 曜《げつよう》と木曜《もくよう》は燃《も》える<
木目《もくめ》 | #618 座面《ざめん》に木目《もくめ》が美《うつく》し
木肌《きはだ》 | #152 く乾《かわ》いた木肌《きはだ》が光《ひか》って
木陰《こかげ》 | #038 園《こうえん》の木陰《こかげ》の<bench>
未完成《みかんせい》 | #094 未完成《みかんせい》の
未知《みち》 | #003 未知《みち》のことに挑《いど
本体《ほんたい》 | #241 》を持《も》つ。本体《ほんたい》に触《ふ》れたら
本体価格《ほんたいかかく》 | #389 本体価格《ほんたいかかく》<plus>消費
本土《ほんど》 | #565 けっこう》すると本土《ほんど》へ渡《わた》る手
杉《すぎ》 | #030 杉《すぎ》
材料費《ざいりょうひ》 | #114 00円《えん》。材料費《ざいりょうひ》のレシートを集計
杖《つえ》 | #041 》が白《しろ》い杖《つえ》で点字《てんじ》
束縛《そくばく》 | #203 束縛《そくばく》
条件《じょうけん》 | #107 じょうたい》。「条件《じょうけん》」の意味《いみ》
来年度《らいねんど》 | #227 rnment>は来年度《らいねんど》の予算案《よさん
松《まつ》 | #030 松《まつ》
板状《いたじょう》 | #046 板状《いたじょう》のもの。「乗《の
枕《まくら》 | #125 枕《まくら》カバー
枕元《まくらもと》 | #090 >の朝《あさ》、枕元《まくらもと》に置《お》かれた
林《はやし》 | #030 bamboo>の林《はやし》は、まっすぐな緑
林業《りんぎょう》 | #184 林業《りんぎょう》
果《は》 | #207 割《やくわり》を果《は》たす。
枯れ草《かれくさ》 | #338 り、泥《どろ》と｜枯れ草《かれくさ》の器《うつわ》の
架《か》 | #014 架《か》空《そら》の
柑橘類《かんきつるい》 | #299 く酸《す》っぱい柑橘類《かんきつるい》。
柵《さく》 | #187 と》んでいった。柵《さく》の高《たか》さは
栄《さか》 | #520 栄《さか》える
根菜《こんさい》 | #072 で知《し》られる根菜《こんさい》。
桁《けた》 | #011 《あんざん》で4桁《けた》のかけ算《さん》
桃太郎《ももたろう》 | #376 桃太郎《ももたろう》は Peach 
桃色《ももいろ》 | #386 桃色《ももいろ》
案内人《あんないにん》 | #236 案内人《あんないにん》
案内書《あんないしょ》 | #236 旅行《りょこう》案内書《あんないしょ》。動詞《どうし》
桟橋《さんばし》 | #052 桟橋《さんばし》の柱《はしら》
椀《わん》 | #121 も》ねて、1つの椀《わん》を半年《はんとし
業者《ぎょうしゃ》 | #056 っ越《ひっこ》し業者《ぎょうしゃ》
楽屋《がくや》 | #021 楽屋《がくや》
様《さま》 | #477 様《さま》
槽《そう》 | #020 大水《おおみず》槽《そう》では、ジンベエザ
標本《ひょうほん》 | #139 骨格《こっかく》標本《ひょうほん》は首《くび》だけ
模試《もし》 | #432 模試《もし》の<result
権《けん》 | #458 ポーツの「シード権《けん》」も同《おな》じ
横顔《よこがお》 | #400 王《じょおう》の横顔《よこがお》が刻《きざ》まれ
機長《きちょう》 | #068 《せんちょう》・機長《きちょう》も captai
機関《きかん》 | #227 運営《うんえい》機関《きかん》。
檻《らん》 | #566 仕掛《しか》けた檻《らん》の<trap>が
欠航《けっこう》 | #565 フェリーだけで、欠航《けっこう》すると本土《ほん
欲《ほっ》 | #406 欲《ほっ》しかったスニーカ
欲張《よくば》 | #226 つ産《う》んで、欲張《よくば》りな｜飼い主《か
歌唱《かしょう》 | #421 歌唱《かしょう》
歌舞伎《かぶき》 | #016 歌舞伎《かぶき》
正々堂々《せいせいどうどう》 | #181  play = 正々堂々《せいせいどうどう》。
正反対《せいはんたい》 | #476 正反対《せいはんたい》の
正常《せいじょう》 | #212 出《で》ていれば正常《せいじょう》だ。
正式《せいしき》 | #012 正式《せいしき》には the U
武器《ぶき》 | #568 武器《ぶき》
歩行《ほこう》 | #603 こうれいしゃ》の歩行《ほこう》補助《ほじょ》器
歩道橋《ほどうきょう》 | #042 歩道橋《ほどうきょう》
歳《とし》 | #377 歳《とし》
死角《しかく》 | #041  spot = 死角《しかく》。
残量《ざんりょう》 | #600 電池《でんち》残量《ざんりょう》
段差《だんさ》 | #033 駅《えき》の段差《だんさ》をなくすスロープ
母子《ぼし》 | #456 り出《だ》された母子《ぼし》の像《ぞう》で、
母親《ははおや》 | #399 カンガルーの母親《ははおや》は、おなかの<p
母語話者《ぼごわしゃ》 | #343 母語話者《ぼごわしゃ》でない
母音《ぼいん》 | #213  と同《おな》じ母音《ぼいん》変化《へんか》。
母音字《ぼいんじ》 | #433 つづりに母音字《ぼいんじ》がない珍《めずら
毎時間《まいじかん》 | #585 毎時間《まいじかん》
毛布《もうふ》 | #125 毛布《もうふ》
民《たみ》 | #146  避難《ひなん》民《たみ》。
民主主義《みんしゅしゅぎ》 | #133 民主主義《みんしゅしゅぎ》
民族《みんぞく》 | #012 つ》まる多《た》民族《みんぞく》の国《くに》で、
民族衣装《みんぞくいしょう》 | #597 、アオザイという民族衣装《みんぞくいしょう》で知《し》られる
民衆《みんしゅう》 | #133 demos(民衆《みんしゅう》)+ cracy
民謡《みんよう》 | #396 民謡《みんよう》
気体《きたい》 | #359 欠《ふかけつ》な気体《きたい》。
気絶《きぜつ》 | #180 《どうし》では「気絶《きぜつ》する」。
水中《すいちゅう》 | #273 水中《すいちゅう》で
水分《すいぶん》 | #538 ュースはこまめな水分《すいぶん》補給《ほきゅう》
水力《すいりょく》 | #491 水力《すいりょく》の
水槽《すいそう》 | #351 水槽《すいそう》の<octopu
水深《すいしん》 | #132 ep>なところで水深《すいしん》5メートルあり、
水滴《すいてき》 | #075 てんじょう》から水滴《すいてき》の音《おと》だけ
水玉模様《みずたまもよう》 | #148 さな点《てん》。水玉模様《みずたまもよう》 = polka
水素《すいそ》 | #359 水素《すいそ》
水辺《すいへん》 | #465 水辺《すいへん》
水道代《すいどうだい》 | #159 cient>だ。水道代《すいどうだい》も時間《じかん》
水道橋《すいどうばし》 | #439 作《つく》られた水道橋《すいどうばし》は、2000年《
水鳥《みずとり》 | #155 水鳥《みずとり》。「ひょいとかが
氷山《ひょうざん》 | #266 iceberg(氷山《ひょうざん》)など複合語《ふ
永久《えいきゅう》 | #199  + ever。永久《えいきゅう》に・ずっと。
永遠《えいえん》 | #199 永遠《えいえん》に
決断《けつだん》 | #131 ision = 決断《けつだん》する。
沖《おき》 | #623 》を受《う》けて沖《おき》へ滑《すべ》り出
治《おさ》 | #227 govern(治《おさ》める)+ -me
沿《そ》 | #514 山道《やまみち》沿《そ》いの<strea
泊《と》 | #183 の<farm>に泊《と》まり、朝《あさ》
泡《あわ》 | #055 泡《あわ》
泡立て器《あわたてき》 | #328 まがなくなるまで｜泡立て器《あわたてき》でかき回《まわ》
波打《なみう》 | #261 の紙《かみ》まで波打《なみう》ってくる。
泣き出《なきだ》 | #045 ｜泣き出《なきだ》す
泥《どろ》 | #338 を作《つく》り、泥《どろ》と｜枯れ草《かれ
注意書《ちゅういが》 | #004 注意書《ちゅういが》き
注目《ちゅうもく》 | #024 注目《ちゅうもく》
洋館《ようかん》 | #290 古《ふる》い洋館《ようかん》の扉《とびら》に
洗濯《せんたく》 | #112 洗濯《せんたく》
洗濯機《せんたくき》 | #308 chine = 洗濯機《せんたくき》。vending
洞《ほら》 | #075 ん》の空《そら》洞《ほら》。
津波《つなみ》 | #171 津波《つなみ》警報《けいほう》
流木《りゅうぼく》 | #152 流木《りゅうぼく》
浜《はま》 | #255 に泳《およ》いだ浜《はま》を案内《あんない
浴《あ》 | #472 shower>を浴《あ》びると、疲《つか
浴槽《よくそう》 | #334 湧《わ》いたまま浴槽《よくそう》に注《そそ》がれ
海上《かいじょう》 | #499 thwest>の海上《かいじょう》で発生《はっせい
海中《かいちゅう》 | #268 ぶスクールバスと海中《かいちゅう》トンネルを描《え
海外旅行《かいがいりょこう》 | #007 初《はじ》めての海外旅行《かいがいりょこう》の朝《あさ》、出
海岸線《かいがんせん》 | #453 んえん》、やがて海岸線《かいがんせん》へと移《うつ》り
海藻《かいそう》 | #152 海藻《かいそう》
海賊《かいぞく》 | #568 《ものがたり》の海賊《かいぞく》たちは、<tre
海賊版《かいぞくばん》 | #357 海賊版《かいぞくばん》の
消灯《しょうとう》 | #322 中《なか》でも、消灯《しょうとう》後《のち》にこっ
消費《しょうひ》 | #409 消費《しょうひ》する
